#{"t_start": 1627059750.1729228, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,122,3.184013
0.0,128,4.24562
1.0,171,5.587883
1.0,175,7.172611
1.0,176,8.828684
0.0,134,9.951733
1.0,173,11.148875
1.0,180,12.38403
4.0,321,14.633548
2.0,192,15.974877
2.0,232,17.627942
3.0,244,19.414492
0.0,139,20.41019
4.0,322,22.630357
0.0,123,23.497598
0.0,131,24.413236
1.0,158,25.511805
1.0,170,26.714085
0.0,126,27.587445
2.0,219,29.125998
6.0,389,31.850873
3.0,278,33.813329
0.0,128,34.715445
1.0,155,35.814556
0.0,129,36.732303
1.0,162,37.828994
0.0,144,38.857019
0.0,140,39.838411
5.0,287,41.794854
1.0,178,43.102711
2.0,197,44.49782
0.0,139,45.500155
2.0,223,47.095702
1.0,155,48.196877
2.0,201,49.580673
6.0,409,52.380341
0.0,126,53.230139
2.0,238,54.834284
3.0,256,56.661877
1.0,171,57.885316
4.0,305,59.984701
1.0,198,61.350101
0.0,143,62.361652
1.0,161,63.49073
3.0,267,65.369007
4.0,283,67.330524
6.0,443,70.358886
2.0,202,71.765877
1.0,155,72.892066
2.0,224,74.487378
4.0,282,76.422601
1.0,172,77.662954
0.0,126,78.571613
0.0,124,79.418807
3.0,272,81.337943
1.0,172,82.526509
3.0,251,84.304774
3.0,269,86.223532
1.0,155,87.326133
1.0,174,88.571983
1.0,158,89.698414
0.0,132,90.646579
0.0,126,91.533657
3.0,281,93.46976
1.0,171,94.657843
1.0,159,95.770862
3.0,230,97.351712
2.0,221,98.921149
1.0,162,100.085057
4.0,296,102.170537
0.0,127,103.067304
0.0,128,103.962451
0.0,131,104.848055
1.0,181,106.151469
0.0,127,107.026388
5.0,325,109.323788
0.0,128,110.218663
0.0,140,111.243502
0.0,124,112.107622
6.0,395,114.860575
1.0,153,115.958979
1.0,181,117.297079
1.0,155,118.421781
0.0,129,119.344519
0.0,128,120.271464
0.0,133,121.233757
1.0,175,122.4751
4.0,289,124.483212
2.0,202,125.887522
5.0,345,128.409933
0.0,122,129.303831
0.0,126,130.217326
3.0,221,131.758011
0.0,132,132.708844
5.0,328,135.030682
3.0,230,136.634441
0.0,130,137.543767
0.0,141,138.511014
1.0,152,139.583998
2.0,233,141.210558
2.0,226,142.786549
1.0,176,144.033116
6.0,396,146.802359
1.0,158,147.941131
4.0,282,149.901868
2.0,211,151.365147
2.0,213,152.865434
2.0,188,154.215304
0.0,125,155.14297
0.0,127,156.06529
1.0,169,157.313394
0.0,130,158.268645
4.0,262,160.16816
0.0,128,161.123649
0.0,136,162.117755
3.0,269,164.08044
5.0,356,166.579598
0.0,126,167.471507
1.0,169,168.641021
0.0,139,169.610389
1.0,152,170.735259
0.0,142,171.760392
2.0,206,173.264276
3.0,232,174.890527
1.0,181,176.175357
5.0,380,178.842117
1.0,176,180.124507
0.0,124,181.000887
1.0,157,182.147657
1.0,154,183.241644
1.0,168,184.433906
1.0,148,185.502156
2.0,199,186.940922
2.0,227,188.51196
1.0,164,189.69426
0.0,130,190.627192
3.0,239,192.372406
0.0,132,193.310795
3.0,253,195.048326
1.0,160,196.234433
3.0,274,198.180871
3.0,269,200.051488
5.0,347,202.478484
0.0,127,203.377768
2.0,203,204.839793
0.0,154,205.934044
2.0,210,207.410122
0.0,132,208.321843
1.0,153,209.434287
1.0,196,210.855396
3.0,240,212.614569
5.0,350,215.134347
0.0,144,216.180697
1.0,178,217.456386
5.0,339,219.872355
1.0,187,221.203825
0.0,145,222.246902
1.0,174,223.483531
2.0,208,224.942449
0.0,125,225.823014
1.0,164,227.004709
1.0,171,228.256361
4.0,264,230.156123
1.0,165,231.307085
1.0,160,232.460576
4.0,303,234.668205
1.0,173,235.917757
3.0,256,237.763783
1.0,176,239.047226
0.0,127,239.971028
1.0,167,241.150116
1.0,173,242.419872
3.0,246,244.117562
0.0,145,245.104095
0.0,126,246.011529
3.0,249,247.71444
1.0,150,248.811399
0.0,126,249.730038
4.0,291,251.852633
1.0,161,253.014386
2.0,203,254.469856
3.0,253,256.307555
1.0,158,257.447075
1.0,180,258.735904
0.0,148,259.781917
5.0,364,262.365426
0.0,130,263.300387
3.0,229,264.938522
0.0,140,265.982437
2.0,196,267.371544
1.0,167,268.571612
0.0,125,269.490908
1.0,153,270.655801
2.0,202,272.160539
0.0,131,273.097729
2.0,202,274.516633
0.0,125,275.422798
1.0,154,276.492641
1.0,151,277.600138
2.0,218,279.195403
0.0,128,280.106522
1.0,178,281.386992
1.0,189,282.684448
1.0,175,283.884538
0.0,128,284.796819
1.0,173,286.043112
0.0,122,286.915683
3.0,276,288.880795
0.0,133,289.842924
1.0,177,291.12785
0.0,127,292.074644
3.0,250,293.843859
1.0,153,295.006656
1.0,169,296.249353
5.0,336,298.623603
2.0,198,299.991182
0.0,140,301.010556
0.0,124,301.905067
3.0,258,303.778049
4.0,286,305.798801
2.0,205,307.263834
0.0,129,308.175844
4.0,307,310.353686
2.0,229,312.019705
2.0,222,313.59984
0.0,138,314.625595
0.0,131,315.58988
1.0,177,316.830122
1.0,158,317.921049
0.0,135,318.867402
3.0,246,320.701568
0.0,124,321.572775
0.0,135,322.543812
1.0,162,323.728868
1.0,155,324.869097
1.0,169,326.114162
4.0,278,328.164765
3.0,232,329.816386
2.0,186,331.119414
0.0,126,332.007584
3.0,266,333.920476
0.0,122,334.753863
3.0,219,336.326432
0.0,124,337.201627
1.0,176,338.418252
0.0,131,339.447514
2.0,198,340.843045
1.0,161,342.033306
3.0,247,343.806367
4.0,303,346.012815
0.0,136,346.969564
0.0,136,347.915176
0.0,128,348.825572
0.0,134,349.827098
1.0,157,350.965364
0.0,129,351.915312
2.0,219,353.433682
1.0,166,354.598876
1.0,151,355.710275
1.0,172,356.946526
0.0,123,357.842134
8.0,455,361.637859
1.0,150,362.722429
1.0,159,363.896547
4.0,303,366.124148
1.0,174,367.442531
3.0,235,369.169041
1.0,155,370.337838
0.0,131,371.296354
0.0,132,372.277459
0.0,127,373.223585
2.0,192,374.572831
0.0,131,375.526842
0.0,123,376.411527
1.0,171,377.602837
2.0,197,379.016217
0.0,126,379.918623
0.0,131,380.845897
0.0,125,381.724121
0.0,145,382.768722
2.0,185,384.09771
0.0,123,384.980744
1.0,173,386.239287
2.0,202,387.652963
1.0,158,388.780711
0.0,133,389.791125
1.0,178,391.044391
2.0,189,392.425377
5.0,292,394.556166
0.0,135,395.490499
0.0,130,396.4235
0.0,140,397.423162
0.0,129,398.318922
4.0,303,400.441233
2.0,222,402.001837
3.0,285,404.023702
1.0,193,405.384189
2.0,185,406.687121
2.0,207,408.149447
6.0,378,410.804529
1.0,171,412.007573
2.0,208,413.482403
0.0,126,414.383412
1.0,157,415.472272
2.0,183,416.757097
2.0,224,418.319511
3.0,269,420.221733
0.0,125,421.096837
3.0,217,422.617634
1.0,172,423.842828
0.0,125,424.750353
1.0,151,425.796153
0.0,121,426.677811
2.0,198,428.075118
1.0,160,429.195135
0.0,124,430.048586
0.0,124,430.934946
0.0,134,431.93703
4.0,284,433.939739
1.0,186,435.2569
0.0,130,436.188413
0.0,130,437.108521
0.0,125,437.995652
2.0,205,439.453235
2.0,204,440.856143
0.0,126,441.742461
0.0,142,442.779207
1.0,174,444.044492
3.0,263,445.908519
1.0,178,447.126234
1.0,173,448.369129
2.0,180,449.648653
0.0,128,450.563935
2.0,205,452.002658
0.0,120,452.866854
3.0,279,454.816193
2.0,202,456.305072
4.0,304,458.502759
0.0,124,459.439543
0.0,129,460.370128
0.0,126,461.316725
3.0,273,463.222302
2.0,208,464.736038
1.0,160,465.923862
1.0,170,467.180034
3.0,251,468.930872
2.0,183,470.267657
2.0,205,471.709568
3.0,240,473.391251
3.0,256,475.157795
4.0,301,477.300919
1.0,182,478.572833
2.0,222,480.149807
1.0,183,481.427325
2.0,200,482.80734
0.0,131,483.731221
2.0,184,485.014214
3.0,249,486.737151
0.0,130,487.672747
1.0,185,489.01324
1.0,184,490.319283
1.0,170,491.558723
2.0,211,493.020401
1.0,175,494.280885
4.0,299,496.465323
3.0,259,498.358168
3.0,248,500.125091
0.0,125,501.026172
1.0,182,502.353363
1.0,170,503.598901
1.0,174,504.819163
1.0,163,505.982124
0.0,124,506.865725
1.0,184,508.194011
1.0,175,509.435302
1.0,166,510.607144
0.0,135,511.56826
0.0,133,512.49178
0.0,123,513.367102
0.0,126,514.289302
2.0,235,515.96154
1.0,185,517.327017
1.0,150,518.429642
4.0,242,520.156681
0.0,128,521.07418
3.0,253,522.85466
2.0,200,524.295207
3.0,254,526.111645
1.0,161,527.287205
0.0,129,528.200992
2.0,184,529.480612
1.0,156,530.582822
0.0,131,531.534893
0.0,120,532.41784
0.0,134,533.386702
0.0,135,534.377881
2.0,200,535.758655
1.0,173,536.989057
2.0,208,538.467252
1.0,197,539.871164
1.0,156,540.993913
2.0,201,542.43788
2.0,235,544.180807
0.0,128,545.120426
3.0,245,546.90878
2.0,202,548.363735
0.0,121,549.246432
1.0,160,550.412897
1.0,183,551.739477
1.0,175,553.027647
0.0,128,553.952705
1.0,153,555.066133
3.0,231,556.754591
0.0,133,557.692158
3.0,284,559.724868
0.0,126,560.693928
0.0,137,561.727302
3.0,237,563.517656
2.0,189,564.873048
0.0,121,565.767692
6.0,390,568.598244
3.0,242,570.387513
0.0,122,571.256135
2.0,228,572.88195
5.0,327,575.274317
4.0,279,577.302461
0.0,122,578.170458
0.0,129,579.106648
3.0,235,580.862845
0.0,125,581.772475
3.0,260,583.667238
0.0,128,584.62485
1.0,151,585.739939
0.0,122,586.650302
1.0,168,587.907829
0.0,125,588.841697
4.0,294,591.020154
0.0,126,592.007581
1.0,183,593.378278
1.0,171,594.602923
1.0,173,595.861911
1.0,170,597.072132
1.0,173,598.374432
1.0,172,599.630878
1.0,167,600.887756
0.0,144,601.956196
1.0,173,603.277796
2.0,207,604.831458
0.0,125,605.767589
0.0,124,606.64264
1.0,178,607.93582
1.0,168,609.134706
0.0,123,610.051799
1.0,156,611.15854
0.0,126,612.076972
0.0,133,613.02371
2.0,200,614.479403
4.0,262,616.40605
0.0,134,617.385727
1.0,160,618.574262
1.0,172,619.84062
0.0,129,620.783999
1.0,152,621.924023
1.0,181,623.236908
0.0,134,624.214025
0.0,124,625.147409
2.0,207,626.684576
2.0,234,628.413494
1.0,168,629.669565
1.0,171,630.939971
0.0,154,632.062541
3.0,229,633.665868
2.0,201,635.094692
1.0,187,636.43419
1.0,172,637.679479
2.0,236,639.367647
0.0,132,640.296127
1.0,158,641.511301
2.0,221,643.136172
4.0,291,645.230823
1.0,164,646.444856
1.0,171,647.672057
1.0,169,648.921038
1.0,158,650.064739
0.0,127,651.030673
1.0,179,652.394185
1.0,196,653.843957
4.0,265,655.810252
1.0,178,657.129542
1.0,169,658.394018
5.0,370,661.14467
2.0,225,662.763788
0.0,130,663.706032
1.0,153,664.783533
1.0,149,665.836269
0.0,124,666.735784
6.0,429,669.865622
1.0,187,671.267738
0.0,136,672.282103
2.0,185,673.676491
0.0,130,674.640531
0.0,124,675.562209
1.0,166,676.827031
1.0,168,678.083289
3.0,247,679.860567
2.0,197,681.318898
2.0,208,682.886168
3.0,259,684.780641
4.0,303,686.995216
0.0,124,687.940795
0.0,126,688.925822
0.0,124,689.87721
0.0,125,690.809098
1.0,158,691.964592
0.0,124,692.863652
2.0,208,694.692979
2.0,220,696.563865
2.0,205,698.33839
1.0,149,699.554433
