#{"t_start": 1626358340.285623, "env_id": "CartPole-v0"}
r,l,t
24.0,24,0.055532
31.0,31,0.058897
14.0,14,0.060575
14.0,14,0.062186
11.0,11,0.063509
33.0,33,0.066389
34.0,34,0.069401
22.0,22,0.071455
9.0,9,0.072445
12.0,12,0.073642
45.0,45,0.07736
25.0,25,0.080196
37.0,37,0.084473
12.0,12,0.086128
21.0,21,0.087848
14.0,14,0.088995
38.0,38,0.091958
19.0,19,0.093546
21.0,21,0.095344
17.0,17,0.09677
39.0,39,0.101034
12.0,12,0.10243
12.0,12,0.10351
14.0,14,0.104691
16.0,16,0.106025
14.0,14,0.107184
13.0,13,0.108308
11.0,11,0.10922
17.0,17,0.11061
22.0,22,0.11237
75.0,75,0.119686
20.0,20,0.121322
33.0,33,0.127224
15.0,15,0.130406
23.0,23,0.133918
12.0,12,0.135049
23.0,23,0.136929
16.0,16,0.138262
38.0,38,0.141168
11.0,11,0.142158
18.0,18,0.143591
15.0,15,0.144774
53.0,53,0.149024
20.0,20,0.150706
30.0,30,0.153068
37.0,37,0.156031
23.0,23,0.158068
13.0,13,0.159206
15.0,15,0.160461
10.0,10,0.161367
14.0,14,0.162534
52.0,52,0.166517
20.0,20,0.168103
14.0,14,0.169235
25.0,25,0.171134
10.0,10,0.171905
28.0,28,0.174029
9.0,9,0.174752
10.0,10,0.175542
19.0,19,0.176929
53.0,53,0.180492
29.0,29,0.182548
19.0,19,0.183986
12.0,12,0.185105
12.0,12,0.186584
13.0,13,0.187699
20.0,20,0.189163
20.0,20,0.190685
11.0,11,0.191618
27.0,27,0.193564
20.0,20,0.195061
26.0,26,0.196867
19.0,19,0.198295
29.0,29,0.200575
15.0,15,0.201748
17.0,17,0.203017
11.0,11,0.20385
16.0,16,0.204983
20.0,20,0.206402
19.0,19,0.207773
19.0,19,0.209085
20.0,20,0.2105
24.0,24,0.21213
17.0,17,0.213593
13.0,13,0.214641
21.0,21,0.216284
20.0,20,0.217715
29.0,29,0.219644
20.0,20,0.221028
12.0,12,0.221913
21.0,21,0.22358
26.0,26,0.225507
16.0,16,0.226665
13.0,13,0.227594
13.0,13,0.228557
12.0,12,0.229503
17.0,17,0.230806
11.0,11,0.232071
15.0,15,0.233908
13.0,13,0.235443
44.0,44,0.23883
12.0,12,0.239675
29.0,29,0.241616
22.0,22,0.243155
77.0,77,0.248687
40.0,40,0.252571
34.0,34,0.255145
11.0,11,0.256037
13.0,13,0.256983
23.0,23,0.258674
17.0,17,0.25988
17.0,17,0.261109
19.0,19,0.262566
32.0,32,0.265028
20.0,20,0.266594
26.0,26,0.268547
15.0,15,0.269636
40.0,40,0.272302
24.0,24,0.274011
17.0,17,0.275247
37.0,37,0.277665
25.0,25,0.27935
14.0,14,0.280395
22.0,22,0.28212
34.0,34,0.284523
25.0,25,0.286922
14.0,14,0.288606
10.0,10,0.28947
24.0,24,0.291264
12.0,12,0.292085
29.0,29,0.294028
57.0,57,0.298044
12.0,12,0.299917
14.0,14,0.301592
15.0,15,0.302693
18.0,18,0.30389
14.0,14,0.304873
20.0,20,0.306308
17.0,17,0.307468
14.0,14,0.308435
13.0,13,0.309326
12.0,12,0.310248
37.0,37,0.312659
19.0,19,0.314143
32.0,32,0.316632
13.0,13,0.317753
12.0,12,0.318884
10.0,10,0.319711
16.0,16,0.320917
12.0,12,0.32185
19.0,19,0.323318
49.0,49,0.326692
19.0,19,0.327981
11.0,11,0.32907
17.0,17,0.330613
24.0,24,0.333561
44.0,44,0.337336
13.0,13,0.338525
25.0,25,0.340299
14.0,14,0.341299
27.0,27,0.343169
24.0,24,0.344777
23.0,23,0.346378
17.0,17,0.347702
10.0,10,0.349104
15.0,15,0.351165
15.0,15,0.352453
17.0,17,0.3538
15.0,15,0.355042
42.0,42,0.357962
15.0,15,0.359099
17.0,17,0.360302
12.0,12,0.361247
25.0,25,0.363001
10.0,10,0.364102
26.0,26,0.366039
19.0,19,0.3674
16.0,16,0.368525
22.0,22,0.370213
29.0,29,0.372217
35.0,35,0.374835
36.0,36,0.377345
21.0,21,0.379012
22.0,22,0.380768
14.0,14,0.381979
18.0,18,0.383269
38.0,38,0.386386
13.0,13,0.387968
20.0,20,0.390199
14.0,14,0.391278
11.0,11,0.39221
31.0,31,0.394383
15.0,15,0.39542
27.0,27,0.397285
38.0,38,0.401283
28.0,28,0.403317
20.0,20,0.40473
20.0,20,0.406123
12.0,12,0.406971
14.0,14,0.407948
14.0,14,0.408929
11.0,11,0.409788
16.0,16,0.41096
20.0,20,0.4124
22.0,22,0.414306
12.0,12,0.415273
81.0,81,0.420675
13.0,13,0.421696
16.0,16,0.422926
12.0,12,0.423839
12.0,12,0.424821
42.0,42,0.427808
16.0,16,0.429148
31.0,31,0.431537
15.0,15,0.432736
16.0,16,0.434103
14.0,14,0.435251
23.0,23,0.436845
11.0,11,0.438172
16.0,16,0.440011
30.0,30,0.44223
15.0,15,0.443338
25.0,25,0.444953
16.0,16,0.446111
15.0,15,0.447313
8.0,8,0.448173
39.0,39,0.450996
15.0,15,0.452113
18.0,18,0.453397
25.0,25,0.455105
20.0,20,0.456465
22.0,22,0.458014
25.0,25,0.45965
13.0,13,0.46055
44.0,44,0.463451
18.0,18,0.464896
13.0,13,0.465891
17.0,17,0.46722
18.0,18,0.468604
12.0,12,0.469481
48.0,48,0.472657
17.0,17,0.473856
14.0,14,0.474972
17.0,17,0.476285
29.0,29,0.478314
18.0,18,0.479896
44.0,44,0.483315
25.0,25,0.485154
38.0,38,0.488822
17.0,17,0.490571
17.0,17,0.491915
24.0,24,0.493489
20.0,20,0.494845
26.0,26,0.496531
10.0,10,0.497423
63.0,63,0.502282
14.0,14,0.503589
45.0,45,0.508322
23.0,23,0.5101
23.0,23,0.511782
20.0,20,0.513256
18.0,18,0.514628
50.0,50,0.519469
32.0,32,0.522132
18.0,18,0.523496
11.0,11,0.524369
19.0,19,0.525735
45.0,45,0.528864
42.0,42,0.531911
24.0,24,0.534916
20.0,20,0.536492
21.0,21,0.53805
26.0,26,0.539919
26.0,26,0.541753
16.0,16,0.542899
86.0,86,0.549385
16.0,16,0.551298
17.0,17,0.552603
54.0,54,0.556211
22.0,22,0.55776
12.0,12,0.558628
18.0,18,0.559846
16.0,16,0.560945
17.0,17,0.562165
21.0,21,0.563721
33.0,33,0.56706
11.0,11,0.568127
37.0,37,0.570765
9.0,9,0.571453
14.0,14,0.572405
46.0,46,0.575474
45.0,45,0.578586
20.0,20,0.580118
37.0,37,0.582949
16.0,16,0.584313
12.0,12,0.585241
69.0,69,0.591644
33.0,33,0.595605
48.0,48,0.599264
66.0,66,0.605013
42.0,42,0.608923
50.0,50,0.612562
15.0,15,0.613729
18.0,18,0.615155
14.0,14,0.61688
24.0,24,0.619111
47.0,47,0.622546
37.0,37,0.625166
14.0,14,0.626184
13.0,13,0.627151
19.0,19,0.628483
14.0,14,0.629504
22.0,22,0.63114
19.0,19,0.633296
11.0,11,0.63468
31.0,31,0.636961
11.0,11,0.637777
22.0,22,0.639338
24.0,24,0.641009
27.0,27,0.64291
20.0,20,0.644357
33.0,33,0.646601
20.0,20,0.648113
26.0,26,0.651205
13.0,13,0.652399
26.0,26,0.654279
18.0,18,0.655528
19.0,19,0.656802
16.0,16,0.657855
13.0,13,0.658823
22.0,22,0.660419
12.0,12,0.661373
15.0,15,0.662459
15.0,15,0.663478
16.0,16,0.665422
23.0,23,0.667393
8.0,8,0.668171
9.0,9,0.668913
32.0,32,0.67116
78.0,78,0.676184
12.0,12,0.677199
12.0,12,0.678172
52.0,52,0.681845
15.0,15,0.683081
13.0,13,0.684649
23.0,23,0.686726
25.0,25,0.688522
33.0,33,0.690841
19.0,19,0.692194
11.0,11,0.69301
12.0,12,0.693944
15.0,15,0.695012
30.0,30,0.697298
33.0,33,0.700225
12.0,12,0.701283
25.0,25,0.703146
10.0,10,0.703862
14.0,14,0.70482
29.0,29,0.706794
21.0,21,0.708189
11.0,11,0.708921
47.0,47,0.712013
12.0,12,0.71296
15.0,15,0.71444
24.0,24,0.71697
50.0,50,0.720525
12.0,12,0.72135
45.0,45,0.72433
25.0,25,0.726202
17.0,17,0.727486
11.0,11,0.728295
16.0,16,0.729454
50.0,50,0.733885
12.0,12,0.735049
19.0,19,0.736397
19.0,19,0.737693
21.0,21,0.739111
18.0,18,0.740333
26.0,26,0.742105
13.0,13,0.743174
16.0,16,0.74442
15.0,15,0.745462
18.0,18,0.746831
39.0,39,0.750589
10.0,10,0.751532
13.0,13,0.7527
28.0,28,0.75525
23.0,23,0.756837
19.0,19,0.758245
33.0,33,0.760413
22.0,22,0.761869
24.0,24,0.763557
16.0,16,0.765494
14.0,14,0.766919
34.0,34,0.769674
32.0,32,0.772043
51.0,51,0.775563
12.0,12,0.776562
18.0,18,0.777816
25.0,25,0.779685
42.0,42,0.783037
16.0,16,0.784599
13.0,13,0.785659
17.0,17,0.786949
14.0,14,0.788124
53.0,53,0.792626
11.0,11,0.793473
18.0,18,0.794763
11.0,11,0.795607
11.0,11,0.796419
43.0,43,0.799569
15.0,15,0.80098
17.0,17,0.802387
22.0,22,0.804274
91.0,91,0.811788
16.0,16,0.813102
122.0,122,0.823111
53.0,53,0.827183
18.0,18,0.828697
39.0,39,0.83173
20.0,20,0.833818
32.0,32,0.836325
32.0,32,0.83898
30.0,30,0.841269
13.0,13,0.842406
18.0,18,0.843811
23.0,23,0.845488
39.0,39,0.848615
28.0,28,0.851129
18.0,18,0.852611
31.0,31,0.855252
18.0,18,0.856751
13.0,13,0.857884
23.0,23,0.859712
10.0,10,0.860523
11.0,11,0.861416
38.0,38,0.864285
30.0,30,0.866743
27.0,27,0.869181
13.0,13,0.870339
16.0,16,0.871653
11.0,11,0.872574
19.0,19,0.87414
17.0,17,0.875502
17.0,17,0.87685
17.0,17,0.878306
13.0,13,0.87938
16.0,16,0.880617
41.0,41,0.884033
26.0,26,0.886203
47.0,47,0.889879
11.0,11,0.890869
27.0,27,0.892993
12.0,12,0.893977
39.0,39,0.896946
25.0,25,0.899061
12.0,12,0.900145
13.0,13,0.90129
30.0,30,0.903738
14.0,14,0.904919
15.0,15,0.906272
48.0,48,0.91016
12.0,12,0.91135
68.0,68,0.916969
28.0,28,0.92054
14.0,14,0.92178
14.0,14,0.922922
23.0,23,0.924752
51.0,51,0.928806
51.0,51,0.932898
13.0,13,0.934069
14.0,14,0.9357
17.0,17,0.937936
15.0,15,0.939194
27.0,27,0.941288
14.0,14,0.942406
37.0,37,0.945166
34.0,34,0.947712
14.0,14,0.948916
12.0,12,0.949993
24.0,24,0.952838
22.0,22,0.955093
17.0,17,0.956459
32.0,32,0.958903
9.0,9,0.959637
21.0,21,0.961277
18.0,18,0.96265
36.0,36,0.965522
46.0,46,0.970645
15.0,15,0.971926
16.0,16,0.973248
16.0,16,0.974476
25.0,25,0.976422
31.0,31,0.978781
24.0,24,0.980622
13.0,13,0.981651
20.0,20,0.983279
32.0,32,0.985987
13.0,13,0.98773
14.0,14,0.989364
18.0,18,0.990856
13.0,13,0.99188
18.0,18,0.993282
27.0,27,0.99536
40.0,40,0.998543
25.0,25,1.001628
12.0,12,1.002681
18.0,18,1.004004
58.0,58,1.008209
17.0,17,1.009776
15.0,15,1.010869
32.0,32,1.013142
9.0,9,1.013855
39.0,39,1.017665
12.0,12,1.018945
14.0,14,1.020024
35.0,35,1.022492
26.0,26,1.024338
25.0,25,1.026212
48.0,48,1.029433
18.0,18,1.030808
22.0,22,1.032374
19.0,19,1.033789
14.0,14,1.034892
9.0,9,1.035669
14.0,14,1.036712
47.0,47,1.03996
38.0,38,1.042567
21.0,21,1.043998
18.0,18,1.045449
41.0,41,1.048565
17.0,17,1.049856
57.0,57,1.053809
20.0,20,1.055388
45.0,45,1.058386
60.0,60,1.062537
79.0,79,1.068459
13.0,13,1.069531
10.0,10,1.070376
14.0,14,1.071408
47.0,47,1.074521
25.0,25,1.076231
19.0,19,1.077526
38.0,38,1.080323
16.0,16,1.081574
27.0,27,1.083665
37.0,37,1.086607
14.0,14,1.087745
11.0,11,1.088595
29.0,29,1.090702
24.0,24,1.092707
19.0,19,1.094202
15.0,15,1.095301
29.0,29,1.097353
13.0,13,1.098355
25.0,25,1.10022
20.0,20,1.102038
17.0,17,1.103363
16.0,16,1.104686
15.0,15,1.105942
20.0,20,1.10739
49.0,49,1.11081
23.0,23,1.112411
19.0,19,1.113765
22.0,22,1.115442
24.0,24,1.117851
15.0,15,1.118993
15.0,15,1.120187
27.0,27,1.122159
36.0,36,1.124747
20.0,20,1.126165
17.0,17,1.127344
20.0,20,1.128921
11.0,11,1.12974
42.0,42,1.13344
11.0,11,1.1346
20.0,20,1.136123
36.0,36,1.138755
27.0,27,1.1406
