#{"t_start": 1626516810.1146882, "env_id": "LunarLander-v2"}
r,l,t
-396.299154,122,5.608872
-80.786749,75,7.863617
-99.46212,111,8.655697
-231.961896,88,9.27132
-44.363418,85,10.040106
-502.644007,114,10.927321
-94.067034,89,11.672419
-95.206831,129,12.705497
-77.797469,85,13.333203
-59.70253,100,14.055398
-87.863613,158,15.284581
-226.63903,108,16.159217
-71.120452,126,17.108882
-59.366068,116,17.986728
-36.346341,79,18.576185
-192.108651,107,19.3603
-17.876949,101,20.104914
-87.332546,124,21.020077
-117.648553,94,21.7368
-107.066877,130,22.707526
-102.672055,113,23.549058
-90.272757,135,24.603789
-89.730186,118,25.726824
-150.530097,99,26.679747
-344.96067,94,27.517826
-228.301046,99,28.307038
-61.146788,118,29.654957
-61.431745,115,31.175208
-187.10871,121,32.759982
-528.159082,584,39.018015
-283.816894,177,40.920228
-281.050217,108,42.226366
-282.307827,242,44.8086
-166.839792,101,45.6786
-321.566665,254,47.809541
-298.452436,311,50.71983
-301.197592,273,53.758675
-3.210419,140,55.274909
-199.701287,106,56.55819
-236.80336,269,59.751949
-220.027922,378,64.035398
-175.095208,406,67.863771
-190.592829,393,71.394637
-191.45838,525,76.815318
-99.532581,1000,89.4247
-60.530135,1000,101.942087
-63.610015,1000,114.126664
74.242243,233,116.497454
-111.829648,1000,127.833203
-98.307109,288,130.967331
-76.442203,1000,141.939331
-53.390048,432,151.705742
-107.637803,323,155.378428
-121.980562,1000,166.923273
-118.979892,1000,177.696347
-46.925597,1000,187.247691
-109.858011,1000,197.323472
-92.65382,1000,207.168842
-134.434321,171,208.707882
-74.795238,461,213.04253
-51.8967,1000,223.372272
-87.330791,1000,233.698937
-20.393812,1000,243.173664
-76.748557,1000,252.745555
-98.610284,1000,263.808513
-95.101146,1000,273.673644
-121.092555,1000,283.418078
-55.138757,1000,292.683871
-68.023815,1000,304.326708
-45.513333,1000,314.965103
-80.401818,1000,325.747239
-77.820117,1000,336.621095
-138.423627,1000,347.679078
-155.764688,468,353.300548
-216.886729,899,363.773849
-206.673542,777,372.066845
-227.863259,941,381.782214
-111.627238,173,383.445647
-239.746147,887,392.783751
-126.546238,502,398.737984
-128.675189,1000,410.912168
-107.069224,528,416.613482
-88.572321,286,419.911012
-55.28026,252,422.334705
