#{"t_start": 1626357090.0719523, "env_id": "Taxi-v3"}
r,l,t
-261,93,30.567152
-178,55,30.623285
-70,46,30.625766
-111,51,30.66508
-103,43,30.726666
-294,99,30.755724
-16,19,30.773237
-159,90,30.785306
-210,96,30.789677
-166,70,30.804957
-11,14,30.814456
-70,64,30.817198
-180,84,30.82494
-79,46,30.831733
-172,94,30.854509
-212,89,30.877571
-123,54,30.89138
-32,44,30.893424
-76,43,30.899457
-22,25,30.91344
-54,39,30.915223
-28,40,30.916975
-189,93,30.92099
0,12,30.921762
-45,48,30.928572
-68,53,30.939169
-101,77,30.942382
-47,41,30.956017
-37,40,30.957583
-127,85,30.968497
-175,97,30.975766
-15,36,30.977364
4,17,30.982684
-132,99,30.997327
-13,34,31.002118
-113,89,31.008933
-6,18,31.009647
-104,89,31.019246
-54,66,31.021693
-71,65,31.02398
-24,27,31.024967
2,19,31.025788
-9,21,31.027054
-93,78,31.030638
-93,69,31.033142
-14,17,31.033828
-1,13,31.034343
-3,24,31.035227
-124,91,31.039116
8,13,31.0397
-46,31,31.041019
-33,45,31.042652
4,17,31.043484
12,9,31.052617
-86,80,31.055726
0,21,31.056766
-6,18,31.057563
-115,91,31.061058
1,20,31.06734
-12,24,31.068691
-2,14,31.069378
-5,17,31.07019
-8,29,31.07525
-76,61,31.085338
-57,60,31.099381
13,8,31.105424
15,6,31.110087
-9,21,31.110964
-41,53,31.11375
-43,37,31.123477
-74,68,31.135718
-37,40,31.13732
8,13,31.137884
0,21,31.138669
-8,29,31.139757
-88,73,31.142454
-2,23,31.143395
-85,79,31.146528
-22,25,31.147992
-51,45,31.154719
7,14,31.155311
-14,26,31.156359
-38,41,31.161455
-1,22,31.162445
-58,52,31.164479
-17,20,31.165269
0,12,31.165777
-115,73,31.168538
0,21,31.169444
-89,83,31.172351
-83,95,31.175641
-34,46,31.181021
-31,43,31.186197
-91,94,31.189836
-3,24,31.190815
-81,93,31.194089
-42,54,31.196126
-1,22,31.200605
-89,92,31.203884
-67,52,31.206201
-7,28,31.207353
-72,75,31.210249
-52,46,31.212116
4,17,31.21284
-63,57,31.21507
1,11,31.215601
-88,73,31.218407
